Open_Interest.t,Mon.t_1_Manager_Longs.t,Mon.t_1_Manager_Shorts.t,Mon.t_1_Manager_Spreads.t,Open_Interest.t_1,Producer_Longs.t_1,Producer_Shorts.t_1,Swap_Dealer_Longs.t_1,Swap_Dealer_Shorts.t_1,Swap_Dealer_Spreads.t_1,Mon.t_1_Manager_Longs.t_1,Mon.t_1_Manager_Shorts.t_1,Mon.t_1_Manager_Spreads.t_1,Other_Reportable_Longs.t_1,Other_Reportable_Shorts.t_1,Other Reportable Spreads.t_1,Total_Reportable_Longs.t_1,Total_Reportable_Shorts.t_1,Non_Reportable_Longs.t_1,Non_Reportable_Shorts.t_1,Oil.t_1,Sugar.t_1,Sugar.t
1311716,248340,106312,155194,1383663,393297,740331,174957,103605,44741,282990,93814,180052,51724,12536,156062,1283822,1331141,99841,52521,-2.71,-1.037,-1.197
1284480,83039,116949,91144,1272170,510019,661379,176774,76925,70068,87127,101609,97036,61081,8223,191864,1193969,1207104,78201,65067,3.827,-0.117,-0.18
1022637,154389,171162,110066,1025671,254749,471808,232151,58500,54195,161325,174647,117955,65237,12531,57628,943238,947262,82433,78409,-1.263,-0.683,-0.09
1105000,160813,199389,137289,1101581,273763,438916,206497,34710,68100,166051,204278,145685,58360,22868,97910,1016367,1012468,85214,89114,2.93,-0.58,0.71
1023309,146414,52115,107915,1035833,344968,442529,127159,151538,68297,143141,67325,110544,40527,9444,122919,957555,972596,78278,63237,-0.287,0.043,-0.377
1099719,127121,361960,127186,1235045,418833,417219,183026,12729,45638,132024,345518,163953,46409,16616,151118,1141001,1152791,94045,82255,1.773,0.153,0.373
1017353,133681,165706,93484,1011397,250119,507065,217611,49505,39160,139574,149103,90117,104513,19562,92022,933117,946535,78281,64863,-3.673,-0.657,-0.767
1023556,178256,40117,109920,1018450,302249,472759,126025,161652,58348,184719,34762,105969,40852,10476,117907,936067,961873,82383,56577,1.133,-0.163,-0.647
870547,106547,179603,86974,899759,266396,362904,189255,28421,38416,102210,202694,92054,60502,20824,83482,832313,828793,67446,70966,2.45,0.37,0.55
731430,102902,50579,50518,709669,167674,271195,132013,75049,55256,101657,49605,46485,19810,9530,122070,644965,629189,64704,80480,-1.137,-0.677,0.013
1073444,272076,60437,121411,1187635,331469,537575,113644,188224,44738,284624,56907,119623,39546,27836,161006,1094650,1135907,92985,51728,-2.883,-0.093,0.35
1535068,205517,59511,102946,1533305,424351,923227,291312,52668,58541,231986,73050,66553,48494,31293,246224,1367461,1451556,165844,81749,-2.41,0.03,0.63
989947,156275,208519,105789,997629,256814,419203,229610,43354,57626,158918,219227,97347,70642,15907,52938,923894,905602,73735,92027,-3.37,0.45,-0.293
952414,228079,46966,78337,974124,238921,481215,135188,165098,40397,244301,39254,76693,36893,8092,109569,881963,920317,92161,53807,0.49,-0.147,-0.113
810211,123256,8815,51901,822825,172267,367589,139162,119422,58518,136697,9988,53572,39154,6198,148757,748127,764044,74698,58781,6.917,1.593,-0.223
1080293,228077,10311,90191,1090944,248560,640479,142502,82973,45866,240433,6689,87350,65899,17124,168506,999115,1048986,91829,41957,0.79,-0.77,-1.27
788946,136714,27196,76307,795811,191921,424003,177638,70058,43172,137920,37409,77208,33505,8251,73524,734888,733626,60922,62184,5.243,0.163,0.493
1187494,234009,26271,108435,1250897,371679,679678,168056,182641,60807,243112,24562,110297,40175,10058,138689,1132816,1206733,118081,44164,-1.857,-1.29,-0.417
1083479,150132,89660,104636,1050724,362286,461897,130797,148222,63238,145714,74700,110047,30937,10132,124913,967932,993149,82792,57575,1.377,-0.307,-0.077
1212101,272454,25898,73073,1206727,304681,668767,168572,171779,58056,290856,27806,73941,63811,10815,146754,1106673,1157918,100054,48809,-1.853,-0.207,0.243
